id,country_of_museum,Museum,type,date start,date end,year start,year finish,region,country,Name,subject,subject_esp,description,description_esp,co-org,sponsor,url,objects_type,object_material,object_purpose,online/offline, admission fee
1,GB,BM,exhibition,11 Nov 2021,20 Feb 2022,2021,2022,Latin America,Peru,Peru: a journey in time,beliefs and cultural achievements from around 2500 BC to the arrival of Europeans in the 1500s,,"This exhibition invited visitors to step into the vibrant world of Peru and discover how people have thrived for millennia in one of the most complex and challenging environments on the planet. Marking Peru's bicentennial year of independence, this exhibition highlighted the history, beliefs and cultural achievements of the different peoples who lived here from around 2500 BC to the arrival of Europeans in the 1500s, and their legacy in the centuries that followed. From Peru's early indigenous peoples to the ill-fated Inca, this exhibition explored how past cultures were shaped by the diverse landscapes of the central Andes, flourishing at some of the highest altitudes and in some of the driest deserts on earth. Visitors discovered how they developed unique approaches to time, agriculture, economy and power, some of which endure today. The exhibition featured objects from the British Museum's collection, including pottery, precious metals, textiles and ritual paraphernalia, as well as extraordinary pieces borrowed from Peru itself. Striking, large-scale photography and videos of iconic sites, including the Nasca geoglyphs and Machu Picchu, also gave visitors a vivid sense of place and an appreciation of the artistic and architectural prowess of ancient Andean cultures.",,Museo de Arte de Lima,PROMPERÚ,https://www.britishmuseum.org/exhibitions/peru-journey-time?utm_source=blog&utm_medium=smo&utm_campaign=blog&utm_term=1&utm_content=link_18/10/2021_mktg,"ceramics, precious metals, textiles, ritual objects","metal, textile, stone, wood, clay","cooking, storing food and water, decorative, spiritual",offline,TRUE
3,GB,BM,exhibition,13 Oct 2022,19 Feb 2023,2022,2023,North Africa,Egypt,Unlocking ancient Egypt,200 years since the decipherment of Egyptian hieroglyphs,,"For centuries, life in ancient Egypt was a mystery.
We could only glimpse into this hidden world, until the discovery of the Rosetta Stone provided the key to decoding hieroglyphs, allowing us to read this ancient script. The breakthrough expanded our understanding of human history by some 3,000 years.
Marking 200 years since the decipherment of Egyptian hieroglyphs, this major exhibition takes you through the trials and hard work that preceded, and the revelations that followed, this ground-breaking moment.
Hieroglyphs were not just beautiful symbols, they represented a living, spoken language. From romantic poetry and international treaties, to shopping lists and tax returns, the hieroglyphic inscriptions and ancient handwriting in this exhibition reveal stories that are fantastically varied. As well as an unshakeable belief in the power of the pharaohs and the promise of the afterlife, ancient Egyptians enjoyed good food, writing letters and making jokes.
The show will chart the race to decipherment, from initial efforts by medieval Arab travellers and Renaissance scholars to more focussed progress by French scholar Jean-François Champollion (1790–1832) and England’s Thomas Young (1773–1829). The Rosetta Stone, discovered in 1799, with its decree written in hieroglyphs, demotic and the known language of ancient Greek, provided the key to decoding the ancient signs. The results of the 1822 breakthrough proved staggering.
Using inscriptions on the very objects that Champollion and other scholars studied, this immersive exhibition will help you to unlock one of the world’s oldest civilisations.",,,British Petroleum,https://www.britishmuseum.org/exhibitions/hieroglyphs-unlocking-ancient-egypt,texts,stone,"commemoration, communication ",offline,TRUE
4,GB,BM,touring exhibition,22 May 2021,26 Feb 2023,2021,2023,North Africa,"Somalia and Eritrea, Tunisia",Crossings: community and refuge,European migrant crisis,,"Engaging audiences in questions of identity, belonging and sharing our world, A British Museum Spotlight Loan Crossings: community and refuge will tour the Lampedusa cross together with a poignant boat artwork around the UK for the first time.
Made from the remnants of a refugee boat wrecked near the Italian island of Lampedusa, the cross carries messages about kindness, community and the indifference faced by many refugees. In October 2013, an overcrowded boat carrying migrants from Somalia and Eritrea caught fire, capsized and sank near Lampedusa, close to the coast of Tunisia. 311 lives, fleeing persecution and seeking refuge in Europe, were lost. Moved by the plight of survivors, the island's carpenter, Francesco Tuccio, made crosses from the wreckage. These signified salvation from the sea, hope for the future and as well as the sad fate of many migrants.
Alongside the cross will be a display of 12 tiny boats from Syrian-born Issam Kourbaj's series Dark Water, Burning World. Made from repurposed bicycle mudguards tightly packed with burnt matches, the artwork represents the fragile vessels used by refugees to make their perilous voyages as a response to the ongoing tragedy in Syria. The boats convey the fear and exhaustion of the crossing, and the trepidatious uncertainty of survival. In utilising cheap and discarded materials that might otherwise go to waste as the basis for the artwork, Kourbaj represents the need for refugees to use what they can freely acquire following separation from their homeland, while urging the global community to find value in everything and everyone, no matter how humble their origins.
The Lampedusa disaster was one of the first examples of the European migrant crisis and the terrible tragedies that have befallen refugees and migrants as they seek to cross from unstable regions in Africa and the Middle East into Europe. It marks an extraordinary moment in European history and stands witness to the kindness of the people of Lampedusa and as a reference to the ongoing migrant plight today.
The tour will touch on the ethical and practical challenges presented by mass movements of people, and on how Europe has recently responded to refugees and migrants. The Lampedusa cross will be displayed in Coventry and then the Spotlight Loan will tour to venues in Manchester, Hastings, Derby, Ipswich, Bristol, Rochester and Dorchester from May 2021 – February 2023 as part of the British Museum's National Programmes, bringing objects from the Museum to audiences around the UK for free.",,,,https://www.britishmuseum.org/our-work/national/uk-touring-exhibitions-and-loans/current-tours/crossings-community-and-refuge,ritual objects,"stone, wood",spiritual ,offline,TRUE
5,GB,BM,touring exhibition,19 Sep 2020,9 Jun 2024,2020,2024,north africa,Egypt,Egyptian mummies: exploring ancient lives,"journey of discovery and introduces six mummies who lived and died in Egypt between 3,000 and 1,800 years ago.",,"Ancient Egypt holds an enduring fascination for audiences around the world.
This exhibition offers visitors the opportunity to join the British Museum research team on their journey of discovery and introduces six mummies who lived and died in Egypt between 3,000 and 1,800 years ago.
New generations of CT scanners provide sophisticated images of the human remains and objects contained beneath mummy wrappings and determine more accurately key pieces of information such as an individual's sex, age and health at the time of death.
The extraordinary funerary tradition of preparing the body for the afterlife provides us with a unique insight into what life would have been like along the River Nile several thousand years ago.",,,,https://www.britishmuseum.org/our-work/international/international-touring-exhibitions/egyptian-mummies-exploring-ancient-lives,"human remains, ritual objects",remains,spiritual,offline,TRUE
7,GB,BM,exhibition,25 Aug 2022,23 Oct 2022,2022,2022,middle east,Lebanon,Shattered glass of Beirut,"This display followed the story of eight ancient glass vessels, from their destruction in the 2020 Beirut explosion to their restoration.",,"On the evening of 4 August 2020, a massive stockpile of ammonium nitrate exploded at the port of Beirut.
The blast killed at least 218 people, injured 7,000 and displaced 300,000 as well as causing $15bn of damage. The immediate and lasting effects have been deeply traumatic, not just for Beirut's citizens but for all Lebanese people.
Just over 3km from the epicentre, at the Archaeological Museum at the American University of Beirut(Opens in new window) (AUB), a case displaying 74 glass vessels was destroyed, the shards of ancient glass mixing with those from the case and surrounding windows, seemingly inextricable. The story of the restoration of eight of these vessels is a powerful expression of the grief, solidarity and recovery of the people of Lebanon. A collaboration between the AUB and the British Museum, the journey of these shattered vessels has seen them transported to the Museum’s world-class conservation centre and, piece by piece, put together again.
Staff from the Archaeological Museum have worked with British Museum conservators for three months and the eight vessels, which are mainly Roman with a few Byzantine and Islamic examples, are now whole again. The conservation process saw the fragments carefully and laboriously sorted and the individual vessels sensitively and painstakingly reconstructed. The team purposefully made the joins between the shards visible and, though some of the missing areas were filled to support the surrounding fragments, others were left unfilled. These visible scars and missing fragments bear witness to the explosion and the determination of the people of Lebanon to recover.
Ranging from the first to the ninth century, the bowls, flask, beaker, jug and cup in this display collectively spoke of the rich cultural heritage of the wider region – and they told new stories through the scars they bear.
After their display at the British Museum, the vessels will now return home to Beirut.",,,The Asahi Shimbun,https://www.britishmuseum.org/exhibitions/shattered-glass-beirut,glass vessels,glass,"practical, decorative, spiritual",offline,TRUE
9,GB,BM,exhibition,17 May 2021,15 Aug 2021,2021,2021,"middle east, north africa",,Reflections: contemporary art of the Middle East and North Africa,,,"This display weaved together a rich tapestry of artistic expression from artists born in, or connected to, countries from Iran to Morocco.
With drawings by artists trained everywhere from Paris to Jerusalem, and subject matters ranging from the Syrian uprisings to the burning of the National Library of Baghdad, it offered new views of societies whose challenges are well-known in the press but are little known through the prism of contemporary art.
Featuring around 100 works on paper – from etchings to photographs and artists' books – the majority of works in the exhibition had been collected in the past decade. They highlighted topics of gender, identity, history and politics, while also exploring poetic traditions and the intersections between past and present. There was no single narrative but a multiplicity of stories.
To coincide with the exhibition, the British Museum published a richly illustrated accompanying book(Opens in new window) of the same name, written by Venetia Porter with Natasha Morris and Charles Tripp.",,,The Contemporary and Modern Middle Eastern Art (CaMMEA) acquisitions group,https://www.britishmuseum.org/exhibitions/reflections-contemporary-art-middle-east-and-north-africa,visual art,"paints, charcoal, paper, graphite",artistic expression,offline,FALSE
10,GB,BM,exhibition,24 Sep 2020,24 Jan 2021,2020,2021,asia,India,Tantra enlightenment to revolution,"This landmark exhibition explored the radical force that transformed the religious, cultural and political landscape of India and beyond.",,"This landmark exhibition explored the radical force that transformed the religious, cultural and political landscape of India and beyond.
A philosophy originating in medieval India, Tantra has been linked to successive waves of revolutionary thought, from its sixth-century transformation of Hinduism and Buddhism, to the Indian fight for independence and the rise of 1960s counterculture.
Centering on the power of divine feminine energy, Tantra inspired the dramatic rise of goddess worship in medieval India and continues to influence contemporary feminist thought and artistic practice. From its inception to the present day, Tantra has challenged societal conventions around the world.
Aspects of Tantric philosophy can be found across Asia's diverse cultures, but it remains largely unknown – or misrepresented – in the West. The exhibition showcased extraordinary objects from India, Pakistan, Bangladesh, Nepal, Tibet, Japan, the UK and USA, from the seventh century AD to the present, and included masterpieces of sculpture, painting, prints and ritual objects.",,,The Bagri Foundation,https://www.britishmuseum.org/exhibitions/tantra-enlightenment-revolution,"sculpture, visual art, ritual objects","stone, clay, paints",spiritual,offline,TRUE
11,GB,PR,interactive exhibition,00 Apr 2019,00 Feb 2020,2019,2020,"Middle East, North and West Africa","Egypt, Mali, Mauritania, Morocco, Oman, Palestine, Senegal, Syria, Tunisia, Yemen",Weaving Connections,"Local Perspectives on Collections from the Middle East, North and West Africa",,"Jenny Balfour-Paul lived, travelled and collected in the Middle East, North and West Africa from the 1970s to the 1990s. In 2016 she offered a collection of material which she described as ‘Textiles from the Arab World' to the Pitt Rivers Museum, which shortly became a focal point for a programme called MultakaOxford. Multaka, meaning ‘meeting point' in Arabic, explores different ways of engaging with heritage, while developing opportunities for intercultural dialogue. The online exhibition ‘Weaving Connections' interprets highlights from this collection from the perspectives of Multaka volunteers, the collector and Pitt Rivers Museum curators. 
Weaving Connections
From textiles to ceramics, silverwork to photography, ‘Weaving Connections' celebrates excellence in design and technical skill from Egypt, Mali, Mauritania, Morocco, Oman, Palestine, Senegal, Syria, Tunisia, and Yemen.  Learn about how people made, used and wore these items and discover how the exhibition brings contemporary relevance, cross-cultural connections and personal stories into the foreground. 
Creating the exhibition
During the pandemic, the usual ways of interacting with each other and collections rapidly changed. New Multaka Digital Research roles, facilitated remotely, fed into the final exhibition text. ‘Weaving Connections' also includes some wording from the earlier MultakaOxford ‘Connecting Threads' display (April 2019 – February 2020). All research from MultakaOxford will be added to the Pitt Rivers Museum collections databases.",,"the History of Science Museum, Asylum Welcome,  Connection Support, Refugee Resource, Syrian Sisters,Aspire, Iraqi Women Art and War, Dr Jenny Balfour-Paul, Nuha Abdo, Reem Alalaf , Jenny Balfour-Paul , Faye Belsey, Nicola Bird, Abigael Flack, Widad Kawar, Sheila Paine, Margaret Mary Vale, Gillian Vogelsang-Eastwood , Shelagh Weir","Claire Barnes
Dr Laura Fan",https://prm.web.ox.ac.uk/event/weaving-connections,"textiles, visual art","textile, paper","clothing, documentation",online/offline,FALSE
12,GB,PR,Installation,01 Aug 2019,16 Feb 2020,2019,2020,west Africa,,Teaspoons and Trinkets,"spoon designs were inspired by their visit to the Pitt Rivers Museum, where they considered West African metalworking techniques",,"Teaspoons and Trinkets is a display of gold dust spoons, handcrafted in copper by pupils at Langtree School, Reading, in 2019.
The students’ spoon designs were inspired by their visit to the Pitt Rivers Museum, where they considered West African metalworking techniques, such as chasing, repoussé and wax casting processes, while also looking at symbols, patterns and meanings.
Through workshops in both the museum and at school, students learned about European entanglement of art and trade in West Africa. Students held objects which reinform belief about non-Western metalworking, sculpture, and the complexity of historical relationships with the West.
Jewellery artist Kate Coker supported the students to create gold dust spoons which speak of their ideas of identity, how they measure value, and universal uses of symbolism to communicate shared ideas.",,,,https://prm.web.ox.ac.uk/event/teaspoons-and-trinkets,metalwork,metal,"practical, decorative, spiritual",offline,TRUE
13,GB,PR,exhibition,01 Apr 2019,10 Feb 2020,2019,2020,arab,,Multaka-Oxford,Textiles from the Arab World;  Intercultural Interpretation; The aim is to highlight how museums can be a meeting point for people to share their cultures,,"Multaka' means ‘meeting point’ in Arabic. 'Multaka-Oxford' is a collaborative project involving the Pitt Rivers Museum, the History of Science Museum, community partners and volunteers. Funded by the Esmée Fairbairn Collections Fund, 'Multaka-Oxford' is about integration, inclusivity and shared cultures. The project has created new volunteer roles in these museums, particularly for people who have recently arrived in Oxford.
Since April 2018, staff and volunteers have been developing news ways for museums and their collections to be used by people to build practical skills, connect with others, learn and share stories. The museums have benefitted greatly from giving space to diverse voices and, by listening, have gained new insights into their collections.
The Collection: Textiles from the Arab World
'Multaka' volunteers at the Pitt Rivers Museum have worked closely with staff to add new perspectives to a collection of textiles, recently donated by Dr Jenny Balfour-Paul. Jenny is a researcher, collector of worldwide textiles and a renowned expert on indigo dye. In 2016, she offered the Museum a selection of textiles purchased during her travels around the Middle East and North Africa during the 1970s and 1980s.
The Display: Intercultural Interpretation
This display was produced by five volunteers from different countries, with diverse backgrounds and perspectives. The aim is to highlight how museums can be a meeting point for people to share their cultures, experiences and interests, and to tell important stories.
The collaborators have selected objects from the Jenny Balfour-Paul collection, as well as photographs and personal items, and have each produced a set of personalised captions. The connections between these individual narratives reveal the common threads human beings share.
“For me [this] donation is a kind of handing back and a thank you to the countries concerned, so I was thrilled to meet the volunteers who were researching the textiles and interpreting them from their point of view.” — Jenny Balfour-Paul.
Different languages have been used in some of the labels to reflect the diversity of voices represented in this display.",," the History of Science Museum, Asylum Welcome,  Connection Support, Refugee Resource, Syrian Sisters,Aspire, Iraqi Women Art and Wa, Jenny Balfour-Paul",Esmée Fairbairn Collections Fund,https://prm.web.ox.ac.uk/event/multaka-connecting-threads,textiles,textile,"clothing, documentation",offline,TRUE
