Source,Target,Type,Id,Label,Weight
AECID,INDITEX,Undirected,595,,1
AECID,MALI,Undirected,596,,1
AECID,MRS,Undirected,597,,2
AECID,MUNTREF,Undirected,598,,1
AECID,Museo de Arte de Lima,Undirected,599,,1
AECID,Museo de la Universidad Nacional de Tres de Febrero,Undirected,600,,1
AECID,la Biblioteca y Centro de Documentación del Museo,Undirected,601,,1
Abigael Flack,Aspire,Undirected,602,,1
Abigael Flack,Asylum Welcome,Undirected,603,,1
Abigael Flack,Claire Barnes,Undirected,604,,1
Abigael Flack,Connection Support,Undirected,605,,1
Abigael Flack,Dr Jenny Balfour-Paul,Undirected,606,,1
Abigael Flack,Dr Laura Fan,Undirected,607,,1
Abigael Flack,Faye Belsey,Undirected,608,,1
Abigael Flack,Gillian Vogelsang-Eastwood,Undirected,609,,1
Abigael Flack,Iraqi Women Art and War,Undirected,610,,1
Abigael Flack,Jenny Balfour-Paul ,Undirected,611,,1
Abigael Flack,Margaret Mary Vale,Undirected,612,,1
Abigael Flack,Nicola Bird,Undirected,613,,1
Abigael Flack,Nuha Abdo,Undirected,614,,1
Abigael Flack,PR,Undirected,615,,1
Abigael Flack,Reem Alalaf ,Undirected,616,,1
Abigael Flack,Refugee Resource,Undirected,617,,1
Abigael Flack,Sheila Paine,Undirected,618,,1
Abigael Flack,Shelagh Weir,Undirected,619,,1
Abigael Flack,Syrian Sisters,Undirected,620,,1
Abigael Flack,Widad Kawar,Undirected,621,,1
Abigael Flack,the History of Science Museum,Undirected,622,,1
Acción Cultural Española,MDA,Undirected,623,,1
Adivaani/One of Us in India,MAA,Undirected,624,,1
Adivaani/One of Us in India,University of Cambridge,Undirected,625,,1
Adivaani/One of Us in India,the Pilgrim Trust and Art Fund,Undirected,626,,1
Art Fund,Esmée Fairbairn Collections Fund,Undirected,627,,1
Art Fund,MAA,Undirected,628,,1
Art Fund,McDonald Institute for Archaeological,Undirected,629,,1
Art Fund,Research Arts council England,Undirected,630,,1
Art Fund,UK Research and Innovation,Undirected,631,,1
Arts and Humanities Research Council,Arts council England,Undirected,632,,1
Arts and Humanities Research Council,Emmanuel College,Undirected,633,,1
Arts and Humanities Research Council,MAA,Undirected,634,,1
Arts and Humanities Research Council,Mongolia and Inner Asia Research Unit,Undirected,635,,1
Arts and Humanities Research Council,Pembroke College,Undirected,636,,1
Arts and Humanities Research Council,UK Research and Innovation,Undirected,637,,1
Arts and Humanities Research Council,University of Cambridge,Undirected,638,,1
Arts and Humanities Research Council,the Fitzwilliam Museum,Undirected,639,,1
Arts and Humanities Research Council,the Frederick Williamson Memorial Fund,Undirected,640,,1
Arts and Humanities Research Council,the Museum of Archaeology and Anthropology,Undirected,641,,1
Arts and Humanities Research Council,the Sedgwick Museum of Earth Sciences,Undirected,642,,1
Arts and Humanities Research Council,the University Library,Undirected,643,,1
Arts council England,Australian Print Workshop,Undirected,644,,1
Arts council England,Congo Great Lakes Initiative,Undirected,645,,1
Arts council England,Emmanuel College,Undirected,646,,1
Arts council England,Ikon Gallery in Birmingham,Undirected,647,,1
Arts council England,MAA,Undirected,648,,10
Arts council England,Mongolia and Inner Asia Research Unit,Undirected,649,,1
Arts council England,Pembroke College,Undirected,650,,1
Arts council England,The Collie Print Trust,Undirected,651,,1
Arts council England,UCM,Undirected,652,,1
Arts council England,UK Research and Innovation,Undirected,653,,8
Arts council England,University of Cambridge,Undirected,654,,6
Arts council England,the Crowther-Beynon Fund,Undirected,655,,1
Arts council England,the Fitzwilliam Museum,Undirected,656,,1
Arts council England,the Frederick Williamson Memorial Fund,Undirected,657,,1
Arts council England,the Museum of Archaeology and Anthropology,Undirected,658,,1
Arts council England,the Sedgwick Museum of Earth Sciences,Undirected,659,,1
Arts council England,the University Library,Undirected,660,,1
Aspire,Asylum Welcome,Undirected,661,,2
Aspire,Claire Barnes,Undirected,662,,1
Aspire,Connection Support,Undirected,663,,2
